Track,Album Name,Artist,ISRC,All Time Rank,Track Score,Spotify Streams,Spotify Playlist Count,Spotify Playlist Reach,Spotify Popularity,YouTube Views,YouTube Likes,TikTok Posts,TikTok Likes,TikTok Views,YouTube Playlist Reach,Apple Music Playlist Count,AirPlay Spins,SiriusXM Spins,Deezer Playlist Count,Deezer Playlist Reach,Amazon Playlist Count,Pandora Streams,Pandora Track Stations,Soundcloud Streams,Shazam Counts,Explicit Track,Year,Month
Ella Baila Sola,Ella Baila Sola,Eslabon Armado,USE7D2300007,84,166.5,1215336974,129463,39814172,74.0,701880622,3831236,5416,550073,15373104,546259059,83.0,40153,227,24.0,4946338,61.0,84378219,53890,"17,115,523",3435177,False,2023,March
Dance The Night From Barbie The Album,Dance The Night From Barbie The Album,Dua Lipa,USAT22305457,85,166.2,860026452,74769,139913794,80.0,173044031,1640319,175536,90924917,1227837850,1205266954,7.0,759185,1100,82.0,4067956,0.0,64567514,22064,"1,843,883",3199636,False,2023,May
La Bebe Remix,La Bebe Remix,Yng Lvcas,MXF152300159,86,164.9,1032225805,94887,74469479,79.0,920878032,3118229,1031612,116003972,-2147483648,1690231413,83.0,57941,177,42.0,3360878,48.0,55410702,27415,"230,579",2635577,True,2023,March
redrum,american dream,21 Savage,USSM12309164,87,164.8,428233003,57311,144298748,0.0,105148629,1762297,87200,6732800,43993800,977638660,74.0,102457,56,48.0,4037475,60.0,16802867,11821,0,2490071,True,2024,January
Easy On Me,Easy On Me,Adele,USSM12105970,88,163.2,1720918065,209635,93875458,73.0,1194846205,13561925,1912194,733101955,-2147483648,-2147483648,325.0,774277,1316,257.0,5323750,100.0,203324731,126594,0,7569155,False,2021,October
Tit Me Pregu,Un Verano Sin Ti,Bad Bunny,QM6MZ2214878,89,163.1,1514239759,190692,77283361,77.0,1366181141,9358441,1769068,475656543,-2147483648,488048337,150.0,145640,920,44.0,5591928,108.0,69095169,81914,0,5133847,True,2022,May
All My Life feat J Cole,All My Life feat J Cole,Lil Durk,USQX92302957,90,162.0,333202114,108322,41018697,68.0,203487345,2084532,928132,63253779,748253884,735908540,148.0,346411,146,30.0,1277729,60.0,90114807,46789,"16,620,102",4207535,True,2023,May
Anti Hero,Midnights,Taylor Swift,USUG12205736,91,161.8,1563224246,117005,97456780,80.0,203259285,3482508,1302967,376660493,-2147483648,724976542,261.0,1034319,1088,74.0,4457357,150.0,92338994,45974,0,4703179,False,2022,October
Quevedo Bzrp Music Sessions Vol 52,Quevedo Bzrp Music Sessions Vol 52,Bizarrap,UYB282201028,92,161.7,1692951462,209490,88591675,78.0,1132539234,8795731,1212100,196608777,2054826154,56677146,99.0,138254,37,58.0,5211955,65.0,18052815,5213,"4,099,686",6836893,False,2022,July
Magnetic,SUPER REAL ME,ILLIT,USA2P2413259,93,161.0,255076355,11500,90584540,86.0,202206901,2596912,0,57656713,506476590,273521596,67.0,4716,137,9.0,423666,44.0,220481,1207,"556,784",659825,False,2024,March
Lollipop,EVERYBODY GO TO THE DISCOTEK,Darell,USSD12300307,94,158.2,275349653,37806,22826643,70.0,347506860,1553295,4349700,321239621,-2147483648,-2147483648,19.0,23875,96,37.0,3780737,29.0,5101044,5276,0,1245874,True,2023,July
La Diabla,La Diabla Single,Xavi,USA2P2357356,95,155.9,649404552,27544,47789063,83.0,433839212,2750086,0,414833,10603563,1795939912,29.0,16287,462,34.0,16509806,26.0,22603598,29401,0,1380069,False,2023,December
Boy s a Liar Pt 2,Boy s a liar Pt 2,PinkPantheress,GBAYE2300015,96,153.6,851085705,129047,50996176,70.0,211810152,2461166,3502547,955272568,-2147483648,806434641,162.0,223173,6243,65.0,8655684,130.0,10207007,36847,"13,896,129",2580691,True,2023,February
Snooze,SOS,SZA,USRC12204591,97,153.3,1013350808,108036,86470319,84.0,390677417,2521214,402338,97819766,887803828,560893301,154.0,559589,513,60.0,2707900,61.0,74611167,85113,"17,702,595",3129609,True,2022,December
BELLAKEO,BELLAKEO,Peso Pluma,QMFMF2388143,98,153.1,359803580,26065,79152427,86.0,369321334,1839225,720800,74164945,874056250,-2147483648,40.0,16952,69,63.0,18139662,51.0,20058510,7289,0,1002835,True,2023,December
Agora Hills,Scarlet,Doja Cat,USRC12301954,99,152.8,509653100,66219,67521533,0.0,48045203,986278,328562,88846508,544437406,1561456615,80.0,400206,14,78.0,9341155,39.0,23110274,19559,0,4295361,True,2023,September
Prada,Prada,cass,GBCEN2300147,100,152.5,609699748,128498,160755092,83.0,47611547,418343,283600,96934486,1090501901,113545664,129.0,123242,1570,167.0,15480679,100.0,1210830,1073,"25,956,265",0,True,2023,August
Montagem Rave Eterno,Montagem Rave Eterno,Dj Samir,GXD7G2413058,101,152.3,5157486,470,2924720,0.0,1278618,27849,1100000,261000,3900000,0,3.0,0,0,2.0,39366,0.0,0,0,0,47658,False,2024,May
Lil Boo Thang,Lil Boo Thang,Paul Russell,USAR12300323,102,152.1,242070373,37170,74130983,76.0,22907992,261664,2553106,312997953,-2147483648,15593731,106.0,370635,5999,69.0,1792014,79.0,84425715,30713,"670,026",2219984,False,2023,August
MONACO,nadie sabe lo que va a pasar ma,Bad Bunny,QMFME2364182,103,150.7,478150858,73306,51842133,78.0,113379734,1312763,1700998,182319546,2111289492,90954700,78.0,35330,39,56.0,15784760,53.0,17823388,12664,"4,374,049",2255465,True,2023,October
Laxed Siren Beat,Laxed Siren Beat,Jawsh 685,USSM12002399,104,150.5,61382407,7240,1708319,43.0,9977490,201210,37726462,9239474,147837262,0,15.0,10152,0,5.0,59317,1.0,0,0,0,3819161,False,2020,April
